날짜 (UTC),BTC (USD),BTC (KRW),BTC 24h 변동률(%),BTC 블록 수,BTC 24h 거래수,BTC 평균 수수료 (USD),BTC Mempool 거래수,ETH (USD),ETH (KRW),ETH 24h 변동률(%),ETH 블록 수,ETH 24h 거래수,ETH 평균 수수료 (USD),ETH Mempool 거래수,공포탐욕지수,시장상태
2026-04-20 14:13 UTC,75165,110406686,-0.83,945935,626017,0.2433,6145,2301.29,3380252,-1.32,24922531,1816709,0.9005,6963,29,Fear
2026-04-21 06:25 UTC,75757,111340916,1.83,946007,449213,0.4587,4216,2309.78,3394706,1.51,24927379,1834304,0.9625,10095,33,Fear
2026-04-22 06:24 UTC,77990,115275028,2.95,946162,646184,0.3002,2662,2392.17,3535784,3.57,24934554,1982986,0.7151,9318,32,Fear
2026-04-23 06:29 UTC,78315,115931704,0.47,946273,394481,0.6634,4081,2357.18,3489392,-1.41,24941749,1955424,1.1874,9963,46,Fear
2026-04-24 06:31 UTC,77859,115544969,-0.59,946406,521656,0.402,937,2314.35,3434575,-1.85,24948941,1942560,0.9065,10033,39,Fear
2026-04-25 06:07 UTC,77554,114519955,-0.48,946542,540903,0.3515,1475,2317.53,3422157,0.13,24956007,2023652,0.5428,10357,31,Fear
2026-04-26 06:30 UTC,77964,115126795,0.54,946694,647520,0.2339,963,2329.9,3440488,0.57,24963308,2109500,0.5239,10149,33,Fear
2026-04-27 09:10 UTC,77820,114372157,-0.25,946850,649976,0.2285,1832,2320.24,3410054,-0.46,24971289,2901378,0.4947,10553,47,Neutral
2026-04-28 07:57 UTC,76884,113282839,-0.99,947001,647262,0.2848,1162,2286.87,3369542,-1.31,24978112,3470760,0.4522,11096,33,Fear
2026-04-29 07:52 UTC,77078,113954728,0.29,947122,471231,0.4358,816,2324.54,3436669,1.75,24985262,3666120,0.3753,10411,26,Fear
2026-04-30 07:54 UTC,76049,112706606,-1.3,947262,430739,0.5317,1990,2256.9,3344795,-2.88,24992452,3054585,0.3438,10179,29,Fear
2026-05-01 07:53 UTC,77088,113597616,1.35,947401,396792,0.8003,453,2279.65,3359326,1.02,24999621,3013993,0.3563,10396,26,Fear
2026-05-02 06:31 UTC,78139,115156055,1.35,947545,602199,0.4033,1803,2297.33,3385654,0.63,25006399,3101288,0.195,10565,39,Fear
2026-05-03 07:31 UTC,78395,115344203,0.16,947690,551317,0.3307,13580,2311.04,3400274,0.32,25013859,2813023,0.1705,10371,47,Neutral
2026-05-04 09:07 UTC,79693,117101870,1.63,947851,596531,0.2794,6532,2358.82,3466073,2.2,25021521,2419372,0.2206,10680,40,Fear
2026-05-05 07:33 UTC,81009,119388710,1.5,947989,570632,0.3601,2934,2382.58,3511385,0.65,25028222,1995815,0.4002,10256,50,Neutral
2026-05-07 09:45 UTC,80879,117298931,-1.14,948300,607578,0.3803,2301,2328.08,3376431,-3.29,25043243,1923297,0.4227,10225,47,Neutral
2026-05-08 06:18 UTC,79617,116957266,-1.62,948421,540699,0.4516,3593,2277.33,3345385,-1.9,25049383,1919296,0.5191,10215,38,Fear
2026-05-09 07:24 UTC,80241,117305374,1.19,948573,608785,0.4182,13753,2316.32,3386280,2.05,25056895,1795023,0.6715,10234,38,Fear
2026-05-10 07:49 UTC,80775,118086685,0.72,948748,836884,0.639,1639,2329.22,3405132,0.63,25064197,1915383,0.2581,10218,47,Neutral
2026-05-11 11:49 UTC,81132,119421969,0.39,948935,784530,0.2309,1462,2334.67,3436491,0.58,25072557,1818776,0.4172,10262,48,Neutral
2026-05-12 10:02 UTC,80791,120368308,-0.19,949060,622375,0.3166,9089,2292.04,3414836,-1.86,25079195,1944778,0.5683,10397,49,Neutral
2026-05-13 10:01 UTC,81250,120964433,0.61,949197,603703,0.3823,1711,2320.22,3454345,1.27,25086372,2303996,0.2531,10367,42,Fear
2026-05-14 09:39 UTC,79579,118695606,-2.05,949344,676996,0.3089,7485,2253.65,3361406,-2.92,25093427,2067435,0.2673,3897,34,Fear
2026-05-15 10:01 UTC,80425,120631211,0.98,949493,629150,0.3405,3449,2253.44,3379993,-0.23,25100710,1829752,0.3036,9822,43,Fear
2026-05-16 07:31 UTC,78381,117405152,-2.97,949626,640596,0.3839,1305,2190.72,3281439,-3.28,25107149,1768798,0.5359,9976,31,Fear
2026-05-17 08:34 UTC,78041,116895972,-0.49,949777,618203,0.2839,4508,2183.87,3271178,-0.45,25114633,2251135,0.176,10181,27,Fear
2026-05-18 12:52 UTC,77622,115943616,-0.95,949943,643057,0.2756,6071,2151.02,3212959,-1.96,25123104,1749689,0.2155,10306,28,Fear
2026-05-19 04:15 UTC,76830,115693394,-0.14,950031,598819,0.3122,302,2133.76,3213106,0.67,25127692,1790544,0.2431,10569,25,Extreme Fear
2026-05-20 04:16 UTC,76740,115724805,-0.03,950187,704553,0.2771,310,2111.96,3184869,-0.94,25134893,2085447,0.1491,10071,27,Fear
2026-05-21 04:24 UTC,77923,117280894,1.55,950330,616783,0.3111,1130,2143.42,3226047,1.5,25142103,1914695,0.3172,10192,29,Fear
